OBJECTID,NAME,NAME_2,COUNTY,CITY,OWNER,MANAGEMENT,TYPE,SOURCE,ACRES,GlobalID,last_edited_date,Ownership
68,Ivey Terrace Park,Rock Creek Greenway,Hall,Gainesville,City of Gainesville,City of Gainesville,Recreational Facility,Gainesville Parks description,8.60130512,{DE969CDB-CF72-4561-BBE6-CC5AABA36E49},2022/04/05 20:15:23+00,Public
69,Berry Park, ,Cobb,Austell,City of Austell,Austell Parks and Recreation,Conservation,Georgia Tech,0.66314312,{D2A3A31C-3C57-42D8-A7B2-D25C623903B6},2022/04/05 20:15:23+00,Public
70,Washington Street Park,Collar Park,Cobb,Austell,City of Austell,Austell Parks and Recreation,Recreational Facility,Cobb County,8.11805844,{3371CFD0-F749-4EC5-A9EC-E46F6BE1FB83},2022/04/05 20:15:23+00,Public
71,Legion Park, ,Cobb,Austell,City of Austell,Austell Parks and Recreation,Recreational Facility,Georgia Tech,21.03372215,{C460006B-FB02-488D-BDFB-1B56FD7BE971},2022/04/05 20:15:23+00,Public
72,Midway Recreation Center, ,DeKalb,Avondale Estates,DeKalb County,DeKalb County,Public Park,Georgia Tech,21.2725129,{A6605164-484E-4037-BBC5-60CE24ACDE07},2022/04/05 20:15:23+00,Public
73,Spink-Collins Greenspace, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Conservation,GT_Atlanta Update 12-7-05,21.47184557,{F786BD4F-E5D6-480A-BD3D-5BD75DE5E194},2022/04/14 20:54:47+00,Public
74,Kimpson Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,GT_Atlanta Update 12-7-05,0.38129405,{D8B7F76D-6E6B-4B24-883C-B413063F342D},2022/04/05 20:15:23+00,Public
75,Lang-Carson Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Recreational Facility,GT_Atlanta Update 12-7-05,3.19650359,{E41776B3-DE26-4F6C-9565-9EBCF7F55489},2022/04/05 20:15:23+00,Public
76,Sardis Sports Complex, ,Hall,Gainesville,Hall County,Hall County,Recreational Facility,Hall County Parks description,11.31190591,{4DAD3720-B1B8-40EF-AC4E-F121DAC29247},2022/04/05 20:15:23+00,Public
77,Maddox-Avery Triangle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.04817941,{50DA9E3C-9445-494A-A5A8-DBE60770835C},2022/04/05 20:15:23+00,Public
78,Montgomery Ferry-Golf Circle Triangle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.02488077,{CDCBC258-5894-461B-87E1-ADDB7D733CAF},2022/04/05 20:15:23+00,Public
79,Noble Park, ,DeKalb,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.40440159,{2CEEAC28-B248-4C30-9303-06CD18230F42},2022/04/05 20:15:23+00,Public
80,Homestead Park,Homestead-Meadowdale,DeKalb,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.15095901,{A7A4422A-7450-477F-BCBC-5D35627D31D4},2022/04/05 20:15:23+00,Public
81,Beech Valley Triangle, ,DeKalb,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.36354071,{4F84ECE2-CC8F-4EE7-B228-EB86148133F5},2022/04/05 20:15:23+00,Public
82,Daniel Johnson Nature Preserve,Herbert Taylor Park,DeKalb,Atlanta,City of Atlanta,City of Atlanta,Conservation,Georgia Tech,35.22944387,{8F20FAAD-2C23-42EB-8AF7-89717AF541CD},2022/04/05 20:15:23+00,Public
83,Greenwood-Charles Allen Triangle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.03559923,{F7D8F438-FE94-42B2-AF37-01FB57392EAC},2022/04/05 20:15:23+00,Public
84,Vedado-Greenwood Triangle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.07482763,{4C7E8245-2D08-44D1-9363-C06B7133BCFE},2022/04/05 20:15:23+00,Public
